,Epitope IRI,Object Type,Description,Epitope Modified Residue(s),Epitope Modification(s),Starting Position,Ending Position,Non-peptidic epitope IRI,Epitope Synonyms,Antigen Name,Antigen IRI,Parent Protein,Parent Protein IRI,Organism Name,Organism IRI,Parent Organism,Parent Organism IRI,Epitope Comments,Epitope Relationship,Object Type.1,Description.1,Starting Position.1,Ending Position.1,Non-peptidic object IRI,Synonyms,Antigen Name.1,Antigen IRI.1,Parent Protein.1,Parent Protein IRI.1,Organism Name.1,Organism IRI.1,Parent Organism.1,Parent Organism IRI.1,link_url_41
0,112871,Non-peptidic,3-acetyl-7-beta-D-glucopyranosyloxycoumarin,,,,,http://purl.obolibrary.org/obo/CHEBI_53111,"3-acetyl-2-oxo-2H-chromen-7-yl beta-D-glucopyranoside, ",,,,,,,,,Coumarin is 3-acetyl-7-(beta-D-glucopyranosyloxy)coumarin.,,,,,,,,,,,,,,,,G71142DF 
1,114066,Non-peptidic,chloramphenicol,,,,,http://purl.obolibrary.org/obo/CHEBI_17698,"2,2-dichloro-N-[(1R,2R)-2-hydroxy-1-(hydroxymethyl)-2-(4-nitrophenyl)ethyl]acetamide, Chloramex, Chloramphenicol, CHLORAMPHENICOL, chloramphenicol, chloramphenicolum, chlornitromycin, Chlorocid, Chlorocol, Chloromycetin, cloramfenicol, D-(-)-2,2-dichloro-N-(beta-hydroxy-alpha-(hydroxymethyl)-p-nitrophenylethyl)acetamide, D-(-)-threo-1-p-nitrophenyl-2-dichloroacetylamino-1,3-propanediol, Fenicol, Globenicol, Halomycetin, laevomycetinum, levomicetina, levomycetin, Oleomycetin, Sificetina",,,,,,,,,,,,,,,,,,,,,,,,,G11009BX 
2,114701,Non-peptidic,D-xylopyranose,,,,,http://purl.obolibrary.org/obo/CHEBI_53455,"D-xylopyranose, (3R,4S,5R)-tetrahydro-2H-pyran-2,3,4,5-tetrol, D-(+)-xylose, D-xylopentose, D-xylose, Wood sugar, WURCS=2.0/1,1,0/[a212h-1x_1-5]/1/",,,,,,,,,,,,,,,,,,,,,,,,,G53308XG 
3,114702,Non-peptidic,xylitol,,,,,http://purl.obolibrary.org/obo/CHEBI_17151,"(2R,3r,4S)-pentane-1,2,3,4,5-pentol, meso-xylitol, (2R,3R,4S)-Pentane-1,2,3,4,5-pentaol, D-XYLITOL, L-xylitol, Xylit, xylite, Xylitol, xylitol",,,,,,,,,,,,,,,,,,,,,,,,,G11533AI 
4,114703,Non-peptidic,ribitol,,,,,http://purl.obolibrary.org/obo/CHEBI_15963,"(2R,3s,4S)-pentane-1,2,3,4,5-pentol, meso-ribitol, (2R,3s,4S)-pentane-1,2,3,4,5-pentol, Adonitol, D-Adonitol, D-Ribitol, L-ribitol, Ribitol, ribitol",,,,,,,,,,,,,,,,,,,,,,,,,G19384RF 
5,114704,Non-peptidic,galactitol,,,,,http://purl.obolibrary.org/obo/CHEBI_16813,"meso-galactitol, (2R,3S,4R,5S)-hexane-1,2,3,4,5,6-hexol, D-Dulcitol, D-galactitol, Dulcitol, Dulcose, Euonymit, Galactitol, galactitol, L-galactitol, Melampyrin, Melampyrit",,,,,,,,,,,,,,,,,,,,,,,,,G59246IF 
6,114705,Non-peptidic,D-mannitol,,,,,http://purl.obolibrary.org/obo/CHEBI_16899,"D-mannitol, (2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexaol, (2R,3R,4R,5R)-Hexane-1,2,3,4,5,6-hexaol, (2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol, D-(-)-Mannitol, D-mannitol, D-Mannitol, dulcite, E 421, E-421, E421, manna sugar, mannite, Mannitol, mannitol, Osmitrol",,,,,,,,,,,,,,,,,,,,,,,,,G51661YR 
7,114706,Non-peptidic,L-arabinitol,,,,,http://purl.obolibrary.org/obo/CHEBI_18403,"L-arabinitol, L-arabinitol, L-Arabinitol, L-arabinol, L-Arabinol, L-arabitol, L-Arabitol, L-lyxitol, L-Lyxitol",,,,,,,,,,,,,,,,,,,,,,,,,G64539CK 
8,114707,Non-peptidic,erythritol,,,,,http://purl.obolibrary.org/obo/CHEBI_17113,"meso-erythritol, (2R,3S)-butane-1,2,3,4-tetrol, Erythrit, Erythrite, Erythritol, erythritol, erythro-tetritol, Erythrol, L-erythritol, MESO-ERYTHRITOL, mesoerythritol, Phycite, Phycitol",,,,,,,,,,,,,,,,,,,,,,,,,G69655JS 
9,114708,Non-peptidic,D-glucitol,,,,,http://purl.obolibrary.org/obo/CHEBI_17924,"D-glucitol, (-)-sorbitol, (2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol, D-(-)-sorbitol, D-Glucitol, D-Sorbit, D-SORBITOL, D-Sorbitol, D-sorbitol, E 420, E-420, E420, G-ol, Glc-ol, L-Gulitol",,,,,,,,,,,,,,,,,,,,,,,,,G32374SR 
10,114709,Non-peptidic,D-threitol,,,,,http://purl.obolibrary.org/obo/CHEBI_48300,"(2R,3R)-butane-1,2,3,4-tetrol, D-threitol, D-threo-tetritol",,,,,,,,,,,,,,,,,,,,,,,,,G71815PL 
